C60 (NoA=120) A1-5b6b5b6b5b6b5b6b5b6c5b6b5b6b5b6b5b6b5b6f5b
C70 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6l5b6b5b6b5b6b5b6b5b6b5b
C80 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6m5b6b5b6b5b6b5b6b5b6f5b
C90 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6v5b6b5b6b5b6b5b6b5b6b5b
C100 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6w5b6b5b6b5b6b5b6b5b6f5b
C110 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6bf5b6b5b6b5b6b5b6b5b6b5b
C120 (NoA=20) A1-5b6b5b6b5b6b5b6b5b6bg5b6b5b6b5b6b5b6b5b6f5b
C78 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6f5b6c5b6h5b6b5b6b5c6b
C78 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6g5b6f5c6b5b6b5b6c5b6c
C96 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6p5b6c5b6c5b6e5b6b5b6b5b6b
C96 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6r5b6e5b6b5b6b5b6b5b6b5b6b
C114 (NoA=6) A1-5b6b5b6b5b6b5b6e5b6z5b6c5b6d5b6c5b6b5b6b5b6b
C114 (NoA=12) A1-5b6b5b6b5b6b5b6e5b6ba5b6c5b6b5b6c5b6b5b6b5b6c
C72 (NoA=24) A1-5b6b5b6b5b6b5b6g5b6b5b6b5b6c5b6g5b6b5b6b5b
C80 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6e5b6d5b6c5b6b5b6b5b6f5b
C76 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6f5b6b5b6e5b6b5b6b5c6c
C92 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6l5b6b5b6c5b6g5b6b5c6b
C88 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6m5b6b5b6c5b6b5b6b5b6b5b6c
C104 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6n5b6k5b6c5c6c5b6b5b
C100 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6o5b6e5b6b5b6b5b6b5b6f5b
C96 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6p5b6c5b6d5b6b5b6b5b6b5b6b
C112 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6v5b6b5b6c5b6g5b6b5c6b
C108 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6w5b6b5b6c5b6c5c6b5b6c
C120 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6y5b6f5c6b5b6b5b6f5b
C116 (NoA=4) A1-5b6b5b6b5b6b5b6g5b6z5b6d5b6c5b6b5b6b5b6b5b6b
C84 (NoA=4) A1-5b6b5b6b5b6b5b6i5b6e5b6i5b6b5b6b5b6b5c6b
C82 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6b5b6c5b6b5b6b5b6d5b6f5b
C78 (NoA=4) A1-5b6b5b6b5b6b5b6k5b6c5c6b5b6f5b6c5c6b
C82 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6c5b6b5b6b5b6b5b6c5b6g5b
C90 (NoA=4) A1-5b6b5b6b5b6b5b6k5b6c5b6k5b6b5b6b5b6b5b6c5b
C86 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6d5b6d5b6e5b6b5b6b5b6b5b6c
C88 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6e5b6b5b6e5b6b5b6e5b6c5b
C92 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6e5b6b5b6f5b6e5b6b5b6b5b6c
C86 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6e5b6c5c6d5b6d5b6b5b6c
C100 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6e5b6i5b6h5b6b5b6b5c6b
C84 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6f5b6b5b6d5b6c5b6c5b6b5b
C92 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6f5b6g5b6c5b6b5b6b5b6b5b6c
C94 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6g5b6b5b6e5b6g5b6b5b6b5b
C94 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6g5b6g5c6e5b6b5b6c5b
C98 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6g5b6g5b6b5b6c5b6b5b6f5b
C90 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6h5b6e5b6b5b6b5b6c5b6c5b
C98 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6h5b6h5b6b5c6b5b6f5b
C96 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6l5b6c5b6b5b6b5b6d5b6b5b6b
C96 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6m5b6b5b6b5b6b5b6c5b6c5b6b
C104 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6m5b6c5b6b5b6b5b6d5b6f5b
C100 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6n5c6b5b6f5b6c5c6b
C104 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6n5b6b5b6b5b6b5b6c5b6g5b
C112 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6n5b6k5b6b5b6b5b6b5b6c5b
C108 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6o5b6d5b6e5b6b5b6b5b6b5b6c
C110 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6p5b6b5b6d5b6c5b6f5b6b5b
C110 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6p5b6b5b6e5b6b5b6e5b6c5b
C114 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6p5b6b5b6f5b6e5b6b5b6b5b6c
C108 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6p5b6c5c6d5b6d5b6b5b6c
C102 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6q5b6b5c6b5b6b5b6c5b6c
C102 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6q5b6b5b6b5b6c5b6c5c6b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6q5b6b5b6d5b6c5b6c5b6b5b
C114 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6q5b6g5b6c5b6b5b6b5b6b5b6c
C116 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6r5b6b5b6e5b6g5b6b5b6b5b
C116 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6r5b6g5c6e5b6b5b6c5b
C120 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6r5b6g5b6b5b6c5b6b5b6f5b
C112 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6s5b6e5b6b5b6b5b6c5b6c5b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6s5b6h5b6b5c6b5b6f5b
C118 (NoA=2) A1-5b6b5b6b5b6b5b6k5b6w5b6c5b6b5b6b5b6d5b6b5b6b
C118 (NoA=1) A1-5b6b5b6b5b6b5b6k5b6x5b6b5b6b5b6b5b6c5b6c5b6b
C88 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6c5b6c5b6g5b6d5b6b5b6b5b
C86 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6d5b6b5b6c5b6d5b6e5b6b5b
C100 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6d5b6m5c6b5b6b5b6c5b6c
C90 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6e5b6h5c6d5b6b5b6b5b
C102 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6f5b6i5b6c5b6b5b6b5b6f5b
C92 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6g5b6g5b6b5b6c5b6b5b6b5b
C98 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6h5b6h5b6b5b6b5b6b5b6c5b6b
C96 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6j5b6d5b6b5b6b5b6d5b6b5b6b
C94 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6l5b6b5b6b5b6b5b6b5b6d5b
C104 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6m5b6b5b6b5b6b5b6b5b6h5b
C110 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6n5b6c5b6g5b6d5b6b5b6b5b
C106 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6o5b6b5b6b5b6c5b6b5b6f5b
C108 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6o5b6b5b6c5b6d5b6e5b6b5b
C112 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6p5b6h5c6d5b6b5b6b5b
C114 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6r5b6g5b6b5b6c5b6b5b6b5b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6s5b6h5b6b5b6b5b6b5b6c5b6b
C118 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6u5b6d5b6b5b6b5b6d5b6b5b6b
C116 (NoA=2) A1-5b6b5b6b5b6b5b6l5b6w5b6b5b6b5b6b5b6b5b6d5b
C106 (NoA=2) A1-5b6b5b6b5b6b5b6n5b6f5b6n5b6b5b6b5b6b5c6b
C96 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6c5b6d5b6c5b6g5b6b5c6c
C94 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6d5b6e5b6f5b6b5b6b5c6b
C104 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6g5b6d5b6h5b6c5b6b5c6b
C98 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6h5b6c5b6b5b6d5b6b5b6c5b6b
C106 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6h5b6g5b6e5b6b5b6b5b6b5b6b
C100 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6i5b6c5b6c5b6c5b6b5b6c5b6b
C108 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6i5b6e5b6c5b6d5b6e5b6b5b
C102 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6j5b6d5b6b5b6c5b6b5b6c5b6b
C110 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6j5b6h5b6e5b6b5c6b5b6b
C112 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6k5b6h5b6c5b6b5b6c5b6b5b6b
C116 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6n5b6d5b6c5b6e5b6b5b6b5b6c
C114 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6o5b6b5b6c5b6g5b6b5c6b
C118 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6s5b6c5b6b5b6d5b6b5b6b5b6b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6o5b6t5b6c5b6c5b6c5b6b5b6b5b6b
C100 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6b5b6f5b6g5b6b5b6b5b6c5b6b
C88 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6c5b6b5b6b5b6b5b6d5c6d
C92 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6c5b6b5b6c5b6g5b6b5c6b
C100 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6c5b6d5b6g5b6b5b6b5b6c5b6c
C100 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6f5b6b5b6b5b6c5b6b5b6h5b
C102 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6f5b6b5b6b5b6j5b6b5c6b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6b5b6e5b6g5b6c5b6b5b6b
C102 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6b5b6f5c6d5b6c5b6c
C102 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6b5b6f5b6e5b6b5b6b5b6b
C102 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6c5b6d5b6b5b6c5b6b5b6e
C102 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6c5b6e5c6c5b6d5b6c
C102 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6c5b6e5b6d5b6c5b6b5b6b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6d5b6c5b6e5b6f5b6b5b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6h5b6d5b6b5b6c5b6b5b6c
C112 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6f5b6h5b6e5b6e5b6b5b6b5b6b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6f5b6n5b6c5b6e5b6b5b6b5b6b
C102 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6g5b6b5b6d5b6b5b6b5b6c5b6e
C102 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6g5b6b5b6d5b6c5b6d5b6c5b6b
C100 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6g5b6b5b6e5b6b5b6e5b6b5b
C106 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6g5b6b5b6l5b6b5c6b5b
C108 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6g5b6f5b6d5b6b5b6b5b6c5b6d
C112 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6g5b6f5b6g5b6e5b6b5b6b5b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6g5b6g5b6b5b6d5b6c5b6b5b6b
C106 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6g5b6g5b6c5b6b5b6c5b6d5b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6g5b6n5b6d5b6b5b6b5b6c5b6b
C106 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6h5b6e5b6b5b6c5b6b5b6e5b6b
C102 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6h5b6f5b6b5b6b5b6b5b6b5b6c
C112 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6h5b6i5b6d5c6e5b6b5b
C108 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6h5b6j5b6b5b6b5b6b5c6c
C120 (NoA=4) A1-5b6b5b6b5b6b5b6p5b6h5b6p5b6b5b6b5b6b5b6b5b6b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6m5b6d5b6c5b6h5b6b5b6b5b6b
C120 (NoA=2) A1-5b6b5b6b5b6b5b6p5b6n5b6e5b6g5b6b5b6b5b6b5b6b
C120 (NoA=1) A1-5b6b5b6b5b6b5b6p5b6q5b6b5b6b5b6d5c6g5b
C120 (NoA=4) A1-5b6b5b6b5b6b5b6p5b6r5b6c5b6b5b6d5b6b5b6b5b6c
C96 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6b5b6b5b6b5b6b5b6b5b6i5b
C96 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6b5b6b5b6b5b6b5b6i5b6b5b
C98 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6b5b6b5b6c5b6c5b6e5b6b5b6d
C98 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6b5b6c5b6b5b6c5b6d5b6c5b6d
C102 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6b5b6d5b6d5b6e5b6b5b6d5b6b
C106 (NoA=2) A1-5b6b5b6b5b6b5b6r5b6b5b6d5b6h5b6d5b6b5b6c5b6b
C114 (NoA=4) A1-5b6b5b6b5b6b5b6r5b6b5b6m5b6c5b6e5b6b5b6b5b6b
C94 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6c5b6b5b6c5c6f5b6c5b
C94 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6c5b6c5b6b5c6e5b6d5b
C96 (NoA=1) A1-5b6b5b6b5b6b5b6r5b6c5b6c5b6b5b6b5b6c5b6f5b
